Date,AAPL,AMZN,BAC,CVX,DIS,GOOGL,IBM,JNJ,JPM,KO,MA,META,MSFT,NFLX,NVDA,PFE,TSLA,V,WMT,XOM,^GSPC
2020-10-01,105.89006805419922,151.8074951171875,20.982154846191406,55.998191833496094,119.2618179321289,80.25198364257812,86.02193450927734,118.8843002319336,85.72909545898438,41.631649017333984,280.62542724609375,261.6744384765625,194.13340759277344,475.739990234375,12.495854377746582,26.567699432373047,129.34666442871094,175.32188415527344,43.141937255859375,26.260278701782227,3269.9599609375
2020-11-01,115.80204772949219,158.40199279785156,24.930700302124023,70.24348449707031,145.5830078125,87.11912536621094,95.15876770019531,125.44801330566406,104.03426361083984,44.69815444946289,327.54718017578125,275.45880126953125,205.2557373046875,490.70001220703125,13.3607177734375,30.235916137695312,189.1999969482422,202.9550018310547,47.5074462890625,30.696033477783203,3621.6298828125
2020-12-01,129.29263305664062,162.84649658203125,26.834142684936523,69.04505920410156,178.20912170410156,87.03173828125,98.38311004638672,137.4080810546875,112.14484405517578,47.877262115478516,347.4331359863281,271.66961669921875,213.82028198242188,540.72998046875,13.015271186828613,29.350828170776367,235.22332763671875,211.3583984375,44.82097244262695,33.984195709228516,3756.070068359375
2021-01-01,128.58131408691406,160.30999755859375,26.413436889648438,69.65824890136719,165.41246032714844,90.74213409423828,93.0919418334961,142.42835998535156,113.5569076538086,42.036659240722656,307.86572265625,256.9205017089844,222.99142456054688,532.3900146484375,12.954042434692383,28.625228881835938,264.510009765625,186.73712158203125,43.84264373779297,36.96874237060547,3714.239990234375
2021-02-01,118.1552505493164,154.64649963378906,30.921092987060547,81.75851440429688,185.9402313232422,100.40300750732422,92.95124053955078,138.3510284423828,130.81935119628906,42.77000427246094,344.8619689941406,256.21435546875,223.39517211914062,538.8499755859375,13.676801681518555,26.99409294128418,225.1666717529297,205.23204040527344,40.544071197509766,44.82582473754883,3811.14990234375
2021-03-01,119.20032501220703,154.70399475097656,34.466636657714844,86.88581085205078,181.49436950683594,102.41960144042969,105.54279327392578,144.3883514404297,135.3172149658203,46.0177001953125,347.0060729980469,292.9230041503906,227.17613220214844,521.6599731445312,13.31155776977539,29.20262336730957,222.64332580566406,204.91192626953125,42.38839340209961,46.811214447021484,3972.889892578125
2021-04-01,128.28550720214844,173.37100219726562,36.285118103027344,85.45967864990234,182.9697723388672,116.86894989013672,112.36988067626953,142.965087890625,136.7216339111328,47.518699645996094,372.3553771972656,323.3063049316406,242.98797607421875,513.469970703125,14.973407745361328,31.15323257446289,236.47999572753906,226.03895568847656,43.843929290771484,47.99345016479492,4181.169921875
2021-05-01,121.60092163085938,161.15350341796875,37.950313568115234,86.05665588378906,175.72059631347656,117.03528594970703,113.84300231933594,148.69317626953125,146.8527069091797,48.67190170288086,351.8381652832031,326.9364013671875,240.5791015625,502.80999755859375,16.205440521240234,31.217710494995117,208.4066619873047,219.9805145263672,44.50828552246094,48.9409065246582,4204.10986328125
2021-06-01,133.87969970703125,172.00799560546875,36.91180419921875,87.90737915039062,172.88784790039062,121.25320434570312,117.3974609375,145.63394165039062,139.07373046875,47.633140563964844,356.2388000488281,345.8128356933594,261.62835693359375,528.2100219726562,19.954408645629883,31.87531852722168,226.56666564941406,226.61927795410156,44.36532974243164,53.660560607910156,4297.5
2021-07-01,142.5795440673828,166.37950134277344,34.48695755004883,85.4482650756836,173.1337432861328,133.80364990234375,112.88862609863281,152.22872924804688,135.71180725097656,50.581905364990234,376.5834045410156,354.35595703125,275.1588439941406,517.5700073242188,19.456571578979492,34.846336364746094,229.06666564941406,238.8022003173828,44.8466682434082,48.97333526611328,4395.259765625
2021-08-01,148.41531372070312,173.5395050048828,37.53468704223633,81.21823120117188,178.32716369628906,143.70632934570312,112.39208984375,153.05088806152344,143.8410186767578,49.94331359863281,338.23406982421875,377.3100891113281,291.5480651855469,569.1900024414062,22.336294174194336,37.83954620361328,245.24000549316406,222.044677734375,46.59272003173828,46.3787841796875,4522.68017578125
2021-09-01,138.5248565673828,164.2519989013672,38.16401290893555,86.2940673828125,166.3960723876953,132.7603302001953,112.54385375976562,143.61807250976562,147.20436096191406,46.53748321533203,339.650634765625,337.5382385253906,272.7924499511719,610.3400268554688,20.6745662689209,35.32621765136719,258.49334716796875,216.18447875976562,44.0107421875,50.79402160644531,4307.5400390625
2021-10-01,146.65032958984375,168.6215057373047,43.17598342895508,97.385986328125,166.29771423339844,147.03192138671875,101.34049987792969,144.84527587890625,152.7799530029297,50.373863220214844,327.7713623046875,321.8045654296875,320.88336181640625,690.3099975585938,25.515869140625,35.925804138183594,371.3333435058594,205.5281219482422,47.18097686767578,55.67308807373047,4605.3798828125
2021-11-01,161.82440185546875,175.35350036621094,40.1849365234375,96.00800323486328,142.52401733398438,140.925537109375,99.22343444824219,138.6648406982422,143.6945343017578,46.8708381652832,308.0358581542969,322.689697265625,319.8866882324219,641.9000244140625,32.610633850097656,44.13108444213867,381.586669921875,188.05865478515625,44.40544509887695,51.67484664916992,4567.0
2021-12-01,174.09014892578125,166.7169952392578,40.20301055908203,100.97238159179688,152.3502197265625,143.85977172851562,114.76669311523438,153.1249237060547,143.26028442382812,53.32208251953125,351.46527099609375,334.5148620605469,326.02655029296875,602.4400024414062,29.352174758911133,48.926387786865234,352.260009765625,210.69281005859375,45.687435150146484,53.55077362060547,4766.18017578125
